㮘 MAO
㮙 E
㮚 LI
㮛 CHI
㮝 HE
㮞 JIE
㮟 JI
㮡 GUAN
㮢 HOU
㮣 GAI
㮥 FEN
㮦 SE
㮨 JI
㮪 QIONG
㮫 HE
㮭 XIAN
㮮 JIE
㮯 HUA
㮰 BI
㮳 ZHEN
㮶 SHI
㮸 SONG
㮹 ZHI
㮺 BEN
㮾 LANG
㮿 BI
㯀 XIAN
㯁 BANG
㯂 DAI
㯅 PI
㯆 CHAN
㯇 BI
㯈 SU
㯉 HUO
㯊 HEN
㯋 YING
㯌 CHUAN
㯍 JIANG
㯎 NEN
㯏 GU
㯐 FANG
㯓 TA
㯔 CUI
㯖 DE
㯗 RAN
㯘 KUAN
㯙 CHE
㯚 DA
㯛 HU
㯜 CUI
㯝 LU
㯞 JUAN
㯟 LU
㯠 QIAN
㯡 PAO
㯢 ZHEN
㯤 LI
㯥 CAO
㯦 QI
㯩 TI
㯪 LING
㯫 QU
㯬 LIAN
㯭 LU
㯮 SHU
㯯 GONG
㯰 ZHE
㯱 BIAO
㯲 JIN
㯳 QING
㯶 ZONG
㯷 PU
㯸 JIN
㯹 BIAO
㯺 JIAN
㯻 GUN
㯿 LIE
㰀 LI
㰁 LUO
㰂 SHEN
㰃 MIAN
㰄 JIAN
㰅 DI
㰆 BEI
㰈 LIAN
㰊 XUN
㰋 PIN
㰌 QUE
㰍 LONG
㰎 ZUI
㰐 JUE
㰒 SHE
㰔 XIE
㰖 LAN
㰗 CU
㰘 YI
㰙 NUO
㰚 LI
㰛 YUE
㰝 YI
㰟 JI
㰠 KANG
㰡 XIE
㰣 ZI
㰤 KE
㰥 HUI
㰦 QU
㰪 WA
㰬 XUN
㰮 SHEN
㰯 KOU
㰰 QIE
㰱 SHA
㰲 XU
㰳 YA
㰴 PO
㰵 ZU
㰶 YOU
㰷 ZI
㰸 LIAN
㰹 JIN
㰺 XIA
㰻 YI
㰼 QIE
㰽 MI
㰾 JIAO
㱀 CHI
㱁 SHI
㱃 YIN
㱄 MO
㱅 YI
㱇 SE
㱈 JIN
㱉 YE
㱋 QUE
㱌 CHE
㱍 LUAN
㱏 ZHENG
㱖 CUI
㱘 AN
㱙 XIU
㱚 CAN
㱛 CHUAN
㱜 ZHA
㱞 JI
㱟 BO
㱢 LANG
㱣 TUI
㱥 LING
㱦 E
㱧 WO
㱨 LIAN
㱩 DU
㱪 MEN
㱫 LAN
㱬 WEI
㱭 DUAN
㱮 KUAI
㱯 AI
㱰 ZAI
㱱 HUI
㱲 YI
㱳 MO
㱴 ZI
㱵 BEN
㱶 BENG
㱸 BI
㱹 LI
㱺 LU
㱻 LUO
㱽 DAN
㱿 QUE
㲀 CHEN
㲂 CHENG
㲃 JIU
㲄 KOU
㲅 JI
㲆 LING
㲈 SHAO
㲉 KAI
㲊 RUI
㲋 CHUO
㲌 NENG
㲎 LOU
㲏 BAO
㲒 BAO
㲓 RONG
㲕 LEI
㲘 QU
㲛 ZHI
㲜 TAN
㲝 RONG
㲞 ZU
㲟 YING
㲠 MAO
㲡 NAI
㲢 BIAN
㲥 TANG
㲦 HAN
㲧 ZAO
㲨 RONG
㲫 PU
㲭 TAN
㲯 RAN
㲰 NING
㲱 LIE
㲲 DIE
㲳 DIE
㲴 ZHONG
㲶 LÜ
㲷 DAN
㲹 GUI
㲺 JI
㲻 NI
㲼 YI
㲽 NIAN
㲾 YU
㲿 WANG
㳀 GUO
㳁 ZE
㳂 YAN
㳃 CUI
㳄 XIAN
㳅 JIAO
㳆 SHU
㳇 FU
㳈 PEI
㳍 BU
㳎 BIAN
㳏 CHI
㳐 SA
㳑 YI
㳒 BIAN
㳔 DUI
㳕 LAN
㳗 CHAI
㳙 XUAN
㳚 YU
㳛 YU
㳠 TA
㳥 JU
㳦 XIE
㳧 XI
㳨 JIAN
㳪 PAN
㳫 TA
㳬 XUAN
㳭 XIAN
㳮 NIAO
㳴 MI
㳵 JI
㳶 GOU
㳷 WEN
㳹 WANG
㳺 YOU
㳻 ZE
㳼 BI
㳽 MI
㳿 XIE
㴀 FAN
㴁 YI
㴃 LEI
㴄 YING
㴆 JIN
㴇 SHE
㴈 YIN
㴉 JI
㴋 SU
㴏 WANG
㴐 MIAN
㴑 SU
㴒 YI
㴓 ZAI
㴔 SE
㴕 JI
㴖 LUO
㴘 MAO
㴙 ZHA
㴚 SUI
㴛 ZHI
㴜 BIAN
㴝 LI
㴥 QIAO
㴦 GUAN
㴨 ZHEN
㴪 NIE
㴫 JUN
㴬 XIE
㴭 YAO
㴮 XIE
㴰 NENG
㴳 LONG
㴴 CHEN
㴵 MI
㴶 QUE
㴸 NA
㴼 SU
㴽 XIE
㴾 BO
㴿 DING
㵀 CUAN
㵂 CHUANG
㵃 CHE
㵄 HAN
㵅 DAN
㵆 HAO
㵊 SHEN
㵋 MI
㵌 CHAN
㵍 MEN
㵎 HAN
㵏 CUI
㵐 JUE
㵑 HE
㵒 FEI
㵓 SHI
㵔 CHE
㵕 SHEN
㵖 NÜ
㵗 FU
㵘 MAN
㵝 YI
㵞 CHOU
㵡 BAO
㵢 LEI
㵣 KE
㵤 DIAN
㵥 BI
㵦 SUI
㵧 GE
㵨 BI
㵩 YI
㵪 XIAN
㵫 NI
㵬 YING
㵭 ZHU
㵮 CHUN
㵯 FENG
㵰 XU
㵱 PIAO
㵲 WU
㵳 LIAO
㵴 CANG
